lang,text_id,aoi_index,aoi_text,aoi_text_ws_after
en,phi2_greedy_search_item02,79,room,True
en,phi2_greedy_search_item02,80,became,True
en,phi2_greedy_search_item02,81,a,True
en,phi2_greedy_search_item02,82,popular,True
en,phi2_greedy_search_item02,83,"attraction,",True
en,phi2_greedy_search_item02,84,and,True
en,phi2_greedy_search_item02,85,people,True
en,phi2_greedy_search_item02,86,from,True
en,phi2_greedy_search_item02,87,all,True
en,phi2_greedy_search_item02,88,over,True
en,phi2_greedy_search_item02,89,came,True
en,phi2_greedy_search_item02,90,to,True
en,phi2_greedy_search_item02,91,see,True
en,phi2_greedy_search_item02,92,the,True
en,phi2_greedy_search_item02,93,fascinating,True
en,phi2_greedy_search_item02,94,objects,True
en,phi2_greedy_search_item02,95,and,True
en,phi2_greedy_search_item02,96,learn,True
en,phi2_greedy_search_item02,97,about,True
en,phi2_greedy_search_item02,98,the,True
en,phi2_greedy_search_item02,99,house's,True
en,phi2_greedy_search_item02,100,secrets.,False
en,phi2_greedy_search_item05,0,Nature,True
en,phi2_greedy_search_item05,1,and,True
en,phi2_greedy_search_item05,2,nurture,True
en,phi2_greedy_search_item05,3,both,True
en,phi2_greedy_search_item05,4,play,True
en,phi2_greedy_search_item05,5,important,True
en,phi2_greedy_search_item05,6,roles,True
en,phi2_greedy_search_item05,7,in,True
en,phi2_greedy_search_item05,8,shaping,True
en,phi2_greedy_search_item05,9,who,True
en,phi2_greedy_search_item05,10,we,True
en,phi2_greedy_search_item05,11,are.,True
en,phi2_greedy_search_item05,12,Nature,True
en,phi2_greedy_search_item05,13,provides,True
en,phi2_greedy_search_item05,14,the,True
en,phi2_greedy_search_item05,15,foundation,True
en,phi2_greedy_search_item05,16,for,True
en,phi2_greedy_search_item05,17,our,True
en,phi2_greedy_search_item05,18,genetic,True
en,phi2_greedy_search_item05,19,"makeup,",True
en,phi2_greedy_search_item05,20,determining,True
en,phi2_greedy_search_item05,21,our,True
en,phi2_greedy_search_item05,22,physical,True
en,phi2_greedy_search_item05,23,"characteristics,",True
en,phi2_greedy_search_item05,24,"intelligence,",True
en,phi2_greedy_search_item05,25,and,True
en,phi2_greedy_search_item05,26,predispositions.,True
en,phi2_greedy_search_item05,27,"Nurture,",True
en,phi2_greedy_search_item05,28,on,True
en,phi2_greedy_search_item05,29,the,True
en,phi2_greedy_search_item05,30,other,True
en,phi2_greedy_search_item05,31,"hand,",True
en,phi2_greedy_search_item05,32,refers,True
en,phi2_greedy_search_item05,33,to,True
en,phi2_greedy_search_item05,34,the,True
en,phi2_greedy_search_item05,35,environmental,True
en,phi2_greedy_search_item05,36,factors,True
en,phi2_greedy_search_item05,37,that,True
en,phi2_greedy_search_item05,38,influence,True
en,phi2_greedy_search_item05,39,our,True
en,phi2_greedy_search_item05,40,"development,",True
en,phi2_greedy_search_item05,41,such,True
en,phi2_greedy_search_item05,42,as,True
en,phi2_greedy_search_item05,43,our,True
en,phi2_greedy_search_item05,44,"upbringing,",True
en,phi2_greedy_search_item05,45,"education,",True
en,phi2_greedy_search_item05,46,and,True
en,phi2_greedy_search_item05,47,experiences.,True
en,phi2_greedy_search_item05,48,While,True
en,phi2_greedy_search_item05,49,nature,True
en,phi2_greedy_search_item05,50,sets,True
en,phi2_greedy_search_item05,51,the,True
en,phi2_greedy_search_item05,52,"stage,",True
en,phi2_greedy_search_item05,53,nurture,True
en,phi2_greedy_search_item05,54,can,True
en,phi2_greedy_search_item05,55,modify,True
en,phi2_greedy_search_item05,56,and,True
en,phi2_greedy_search_item05,57,shape,True
en,phi2_greedy_search_item05,58,our,True
en,phi2_greedy_search_item05,59,traits,True
en,phi2_greedy_search_item05,60,and,True
en,phi2_greedy_search_item05,61,behaviors.,True
en,phi2_greedy_search_item05,62,It,True
en,phi2_greedy_search_item05,63,is,True
en,phi2_greedy_search_item05,64,the,True
en,phi2_greedy_search_item05,65,interplay,True
en,phi2_greedy_search_item05,66,between,True
en,phi2_greedy_search_item05,67,nature,True
en,phi2_greedy_search_item05,68,and,True
en,phi2_greedy_search_item05,69,nurture,True
en,phi2_greedy_search_item05,70,that,True
en,phi2_greedy_search_item05,71,ultimately,True
en,phi2_greedy_search_item05,72,determines,True
en,phi2_greedy_search_item05,73,who,True
en,phi2_greedy_search_item05,74,we,True
en,phi2_greedy_search_item05,75,become.,False
en,phi2_greedy_search_item06,0,Once,True
en,phi2_greedy_search_item06,1,upon,True
en,phi2_greedy_search_item06,2,a,True
en,phi2_greedy_search_item06,3,"time,",True
en,phi2_greedy_search_item06,4,there,True
en,phi2_greedy_search_item06,5,was,True
en,phi2_greedy_search_item06,6,a,True
en,phi2_greedy_search_item06,7,little,True
en,phi2_greedy_search_item06,8,girl,True
en,phi2_greedy_search_item06,9,who,True
en,phi2_greedy_search_item06,10,lived,True
en,phi2_greedy_search_item06,11,in,True
en,phi2_greedy_search_item06,12,a,True
en,phi2_greedy_search_item06,13,small,True
en,phi2_greedy_search_item06,14,village.,True
en,phi2_greedy_search_item06,15,She,True
en,phi2_greedy_search_item06,16,was,True
en,phi2_greedy_search_item06,17,always,True
en,phi2_greedy_search_item06,18,hungry,True
en,phi2_greedy_search_item06,19,and,True
en,phi2_greedy_search_item06,20,would,True
en,phi2_greedy_search_item06,21,often,True
en,phi2_greedy_search_item06,22,go,True
en,phi2_greedy_search_item06,23,to,True
en,phi2_greedy_search_item06,24,the,True
en,phi2_greedy_search_item06,25,market,True
en,phi2_greedy_search_item06,26,with,True
en,phi2_greedy_search_item06,27,her,True
en,phi2_greedy_search_item06,28,mother,True
en,phi2_greedy_search_item06,29,to,True
en,phi2_greedy_search_item06,30,buy,True
en,phi2_greedy_search_item06,31,food.,True
en,phi2_greedy_search_item06,32,One,True
en,phi2_greedy_search_item06,33,"day,",True
en,phi2_greedy_search_item06,34,her,True
en,phi2_greedy_search_item06,35,mother,True
en,phi2_greedy_search_item06,36,gave,True
en,phi2_greedy_search_item06,37,her,True
en,phi2_greedy_search_item06,38,a,True
en,phi2_greedy_search_item06,39,few,True
en,phi2_greedy_search_item06,40,words,True
en,phi2_greedy_search_item06,41,of,True
en,phi2_greedy_search_item06,42,encouragement,True
en,phi2_greedy_search_item06,43,and,True
en,phi2_greedy_search_item06,44,told,True
en,phi2_greedy_search_item06,45,her,True
en,phi2_greedy_search_item06,46,to,True
en,phi2_greedy_search_item06,47,never,True
en,phi2_greedy_search_item06,48,give,True
en,phi2_greedy_search_item06,49,up.,True
en,phi2_greedy_search_item06,50,From,True
en,phi2_greedy_search_item06,51,that,True
en,phi2_greedy_search_item06,52,day,True
en,phi2_greedy_search_item06,53,"on,",True
en,phi2_greedy_search_item06,54,the,True
en,phi2_greedy_search_item06,55,little,True
en,phi2_greedy_search_item06,56,girl,True
en,phi2_greedy_search_item06,57,worked,True
en,phi2_greedy_search_item06,58,hard,True
en,phi2_greedy_search_item06,59,and,True
en,phi2_greedy_search_item06,60,saved,True
en,phi2_greedy_search_item06,61,up,True
en,phi2_greedy_search_item06,62,enough,True
en,phi2_greedy_search_item06,63,money,True
en,phi2_greedy_search_item06,64,to,True
en,phi2_greedy_search_item06,65,buy,True
en,phi2_greedy_search_item06,66,her,True
en,phi2_greedy_search_item06,67,favorite,True
en,phi2_greedy_search_item06,68,food.,True
en,phi2_greedy_search_item06,69,She,True
en,phi2_greedy_search_item06,70,realized,True
en,phi2_greedy_search_item06,71,that,True
en,phi2_greedy_search_item06,72,a,True
en,phi2_greedy_search_item06,73,few,True
en,phi2_greedy_search_item06,74,short,True
en,phi2_greedy_search_item06,75,words,True
en,phi2_greedy_search_item06,76,of,True
en,phi2_greedy_search_item06,77,encouragement,True
en,phi2_greedy_search_item06,78,can,True
en,phi2_greedy_search_item06,79,make,True
en,phi2_greedy_search_item06,80,someone,True
en,phi2_greedy_search_item06,81,hungry,True
en,phi2_greedy_search_item06,82,for,True
en,phi2_greedy_search_item06,83,success.,False
en,phi2_greedy_search_item08,0,Taking,True
en,phi2_greedy_search_item08,1,a,True
en,phi2_greedy_search_item08,2,cold,True
en,phi2_greedy_search_item08,3,shower,True
en,phi2_greedy_search_item08,4,can,True
en,phi2_greedy_search_item08,5,be,True
en,phi2_greedy_search_item08,6,a,True
en,phi2_greedy_search_item08,7,refreshing,True
en,phi2_greedy_search_item08,8,and,True
en,phi2_greedy_search_item08,9,invigorating,True
en,phi2_greedy_search_item08,10,experience.,True
en,phi2_greedy_search_item08,11,The,True
en,phi2_greedy_search_item08,12,initial,True
en,phi2_greedy_search_item08,13,shock,True
en,phi2_greedy_search_item08,14,of,True
en,phi2_greedy_search_item08,15,the,True
en,phi2_greedy_search_item08,16,cold,True
en,phi2_greedy_search_item08,17,water,True
en,phi2_greedy_search_item08,18,can,True
en,phi2_greedy_search_item08,19,awaken,True
en,phi2_greedy_search_item08,20,the,True
en,phi2_greedy_search_item08,21,senses,True
en,phi2_greedy_search_item08,22,and,True
en,phi2_greedy_search_item08,23,provide,True
en,phi2_greedy_search_item08,24,a,True
en,phi2_greedy_search_item08,25,burst,True
en,phi2_greedy_search_item08,26,of,True
en,phi2_greedy_search_item08,27,energy.,True
en,phi2_greedy_search_item08,28,Cold,True
en,phi2_greedy_search_item08,29,showers,True
en,phi2_greedy_search_item08,30,are,True
en,phi2_greedy_search_item08,31,believed,True
en,phi2_greedy_search_item08,32,to,True
en,phi2_greedy_search_item08,33,have,True
en,phi2_greedy_search_item08,34,several,True
en,phi2_greedy_search_item08,35,"benefits,",True
en,phi2_greedy_search_item08,36,including,True
en,phi2_greedy_search_item08,37,improved,True
en,phi2_greedy_search_item08,38,"circulation,",True
en,phi2_greedy_search_item08,39,increased,True
en,phi2_greedy_search_item08,40,"alertness,",True
en,phi2_greedy_search_item08,41,and,True
en,phi2_greedy_search_item08,42,a,True
en,phi2_greedy_search_item08,43,boost,True
en,phi2_greedy_search_item08,44,to,True
en,phi2_greedy_search_item08,45,the,True
en,phi2_greedy_search_item08,46,immune,True
en,phi2_greedy_search_item08,47,system.,True
en,phi2_greedy_search_item08,48,"Additionally,",True
en,phi2_greedy_search_item08,49,cold,True
en,phi2_greedy_search_item08,50,showers,True
en,phi2_greedy_search_item08,51,can,True
en,phi2_greedy_search_item08,52,help,True
en,phi2_greedy_search_item08,53,reduce,True
en,phi2_greedy_search_item08,54,"inflammation,",True
en,phi2_greedy_search_item08,55,relieve,True
en,phi2_greedy_search_item08,56,muscle,True
en,phi2_greedy_search_item08,57,"soreness,",True
en,phi2_greedy_search_item08,58,and,True
en,phi2_greedy_search_item08,59,promote,True
en,phi2_greedy_search_item08,60,better,True
en,phi2_greedy_search_item08,61,sleep.,True
en,phi2_greedy_search_item08,62,Some,True
en,phi2_greedy_search_item08,63,people,True
en,phi2_greedy_search_item08,64,also,True
en,phi2_greedy_search_item08,65,find,True
en,phi2_greedy_search_item08,66,that,True
en,phi2_greedy_search_item08,67,cold,True
en,phi2_greedy_search_item08,68,showers,True
en,phi2_greedy_search_item08,69,can,True
en,phi2_greedy_search_item08,70,have,True
en,phi2_greedy_search_item08,71,a,True
en,phi2_greedy_search_item08,72,positive,True
en,phi2_greedy_search_item08,73,impact,True
en,phi2_greedy_search_item08,74,on,True
en,phi2_greedy_search_item08,75,their,True
en,phi2_greedy_search_item08,76,mood,True
en,phi2_greedy_search_item08,77,and,True
en,phi2_greedy_search_item08,78,mental,True
en,phi2_greedy_search_item08,79,well-being.,False
en,phi2_greedy_search_item11,0,John:,True
en,phi2_greedy_search_item11,1,"""I",True
en,phi2_greedy_search_item11,2,think,True
en,phi2_greedy_search_item11,3,we,True
en,phi2_greedy_search_item11,4,should,True
en,phi2_greedy_search_item11,5,keep,True
en,phi2_greedy_search_item11,6,going,True
en,phi2_greedy_search_item11,7,straight.,True
en,phi2_greedy_search_item11,8,We'll,True
en,phi2_greedy_search_item11,9,eventually,True
en,phi2_greedy_search_item11,10,find,True
en,phi2_greedy_search_item11,11,the,True
en,phi2_greedy_search_item11,12,"trail.""",True
en,phi2_greedy_search_item11,13,Jane:,True
en,phi2_greedy_search_item11,14,"""But",True
en,phi2_greedy_search_item11,15,the,True
en,phi2_greedy_search_item11,16,sun,True
en,phi2_greedy_search_item11,17,is,True
en,phi2_greedy_search_item11,18,"setting,",True
en,phi2_greedy_search_item11,19,and,True
en,phi2_greedy_search_item11,20,we,True
en,phi2_greedy_search_item11,21,don't,True
en,phi2_greedy_search_item11,22,have,True
en,phi2_greedy_search_item11,23,enough,True
en,phi2_greedy_search_item11,24,food,True
en,phi2_greedy_search_item11,25,or,True
en,phi2_greedy_search_item11,26,water.,True
en,phi2_greedy_search_item11,27,We,True
en,phi2_greedy_search_item11,28,need,True
en,phi2_greedy_search_item11,29,to,True
en,phi2_greedy_search_item11,30,find,True
en,phi2_greedy_search_item11,31,shelter,True
en,phi2_greedy_search_item11,32,and,True
en,phi2_greedy_search_item11,33,"rest.""",True
en,phi2_greedy_search_item11,34,John:,True
en,phi2_greedy_search_item11,35,"""I",True
en,phi2_greedy_search_item11,36,"agree,",True
en,phi2_greedy_search_item11,37,but,True
en,phi2_greedy_search_item11,38,we,True
en,phi2_greedy_search_item11,39,can't,True
en,phi2_greedy_search_item11,40,just,True
en,phi2_greedy_search_item11,41,give,True
en,phi2_greedy_search_item11,42,up.,True
en,phi2_greedy_search_item11,43,We,True
en,phi2_greedy_search_item11,44,need,True
en,phi2_greedy_search_item11,45,to,True
en,phi2_greedy_search_item11,46,keep,True
en,phi2_greedy_search_item11,47,"moving.""",True
en,phi2_greedy_search_item11,48,Jane:,True
en,phi2_greedy_search_item11,49,"""What",True
en,phi2_greedy_search_item11,50,if,True
en,phi2_greedy_search_item11,51,we,True
en,phi2_greedy_search_item11,52,split,True
en,phi2_greedy_search_item11,53,up?,True
en,phi2_greedy_search_item11,54,I'll,True
en,phi2_greedy_search_item11,55,go,True
en,phi2_greedy_search_item11,56,"left,",True
en,phi2_greedy_search_item11,57,and,True
en,phi2_greedy_search_item11,58,you,True
en,phi2_greedy_search_item11,59,go,True
en,phi2_greedy_search_item11,60,right.,True
en,phi2_greedy_search_item11,61,We,True
en,phi2_greedy_search_item11,62,can,True
en,phi2_greedy_search_item11,63,meet,True
en,phi2_greedy_search_item11,64,back,True
en,phi2_greedy_search_item11,65,here,True
en,phi2_greedy_search_item11,66,in,True
en,phi2_greedy_search_item11,67,an,True
en,phi2_greedy_search_item11,68,"hour.""",True
en,phi2_greedy_search_item11,69,John:,True
en,phi2_greedy_search_item11,70,"""That's",True
en,phi2_greedy_search_item11,71,a,True
en,phi2_greedy_search_item11,72,good,True
en,phi2_greedy_search_item11,73,idea.,True
en,phi2_greedy_search_item11,74,Let's,True
en,phi2_greedy_search_item11,75,do,True
en,phi2_greedy_search_item11,76,"it.""",True
en,phi2_greedy_search_item11,77,Jane:,True
en,phi2_greedy_search_item11,78,"""Okay,",True
en,phi2_greedy_search_item11,79,but,True
en,phi2_greedy_search_item11,80,we,True
en,phi2_greedy_search_item11,81,need,True
en,phi2_greedy_search_item11,82,to,True
en,phi2_greedy_search_item11,83,be,True
en,phi2_greedy_search_item11,84,careful.,True
en,phi2_greedy_search_item11,85,We,True
en,phi2_greedy_search_item11,86,don't,True
en,phi2_greedy_search_item11,87,know,True
en,phi2_greedy_search_item11,88,what's,True
en,phi2_greedy_search_item11,89,out,True
en,phi2_greedy_search_item11,90,"there.""",True
en,phi2_greedy_search_item11,91,John:,True
en,phi2_greedy_search_item11,92,"""Don't",True
en,phi2_greedy_search_item11,93,worry.,False
en,phi2_greedy_search_item13,0,The,True
en,phi2_greedy_search_item13,1,Classical,True
en,phi2_greedy_search_item13,2,"era,",True
en,phi2_greedy_search_item13,3,which,True
en,phi2_greedy_search_item13,4,spanned,True
en,phi2_greedy_search_item13,5,from,True
en,phi2_greedy_search_item13,6,approximately,True
en,phi2_greedy_search_item13,7,1750,True
en,phi2_greedy_search_item13,8,to,True
en,phi2_greedy_search_item13,9,"1820,",True
en,phi2_greedy_search_item13,10,was,True
en,phi2_greedy_search_item13,11,characterized,True
en,phi2_greedy_search_item13,12,by,True
en,phi2_greedy_search_item13,13,a,True
en,phi2_greedy_search_item13,14,focus,True
en,phi2_greedy_search_item13,15,on,True
en,phi2_greedy_search_item13,16,"balance,",True
en,phi2_greedy_search_item13,17,"clarity,",True
en,phi2_greedy_search_item13,18,and,True
en,phi2_greedy_search_item13,19,simplicity,True
en,phi2_greedy_search_item13,20,in,True
en,phi2_greedy_search_item13,21,musical,True
en,phi2_greedy_search_item13,22,composition.,True
en,phi2_greedy_search_item13,23,Composers,True
en,phi2_greedy_search_item13,24,such,True
en,phi2_greedy_search_item13,25,as,True
en,phi2_greedy_search_item13,26,"Mozart,",True
en,phi2_greedy_search_item13,27,"Haydn,",True
en,phi2_greedy_search_item13,28,and,True
en,phi2_greedy_search_item13,29,Beethoven,True
en,phi2_greedy_search_item13,30,were,True
en,phi2_greedy_search_item13,31,prominent,True
en,phi2_greedy_search_item13,32,figures,True
en,phi2_greedy_search_item13,33,during,True
en,phi2_greedy_search_item13,34,this,True
en,phi2_greedy_search_item13,35,time.,True
en,phi2_greedy_search_item13,36,In,True
en,phi2_greedy_search_item13,37,"contrast,",True
en,phi2_greedy_search_item13,38,the,True
en,phi2_greedy_search_item13,39,Early,True
en,phi2_greedy_search_item13,40,Romantic,True
en,phi2_greedy_search_item13,41,"era,",True
en,phi2_greedy_search_item13,42,which,True
en,phi2_greedy_search_item13,43,emerged,True
en,phi2_greedy_search_item13,44,in,True
en,phi2_greedy_search_item13,45,the,True
en,phi2_greedy_search_item13,46,early,True
en,phi2_greedy_search_item13,47,19th,True
en,phi2_greedy_search_item13,48,"century,",True
en,phi2_greedy_search_item13,49,was,True
en,phi2_greedy_search_item13,50,marked,True
en,phi2_greedy_search_item13,51,by,True
en,phi2_greedy_search_item13,52,a,True
en,phi2_greedy_search_item13,53,greater,True
en,phi2_greedy_search_item13,54,emphasis,True
en,phi2_greedy_search_item13,55,on,True
en,phi2_greedy_search_item13,56,"emotion,",True
en,phi2_greedy_search_item13,57,individual,True
en,phi2_greedy_search_item13,58,"expression,",True
en,phi2_greedy_search_item13,59,and,True
en,phi2_greedy_search_item13,60,dramatic,True
en,phi2_greedy_search_item13,61,storytelling,True
en,phi2_greedy_search_item13,62,in,True
en,phi2_greedy_search_item13,63,music.,True
en,phi2_greedy_search_item13,64,Composers,True
en,phi2_greedy_search_item13,65,like,True
en,phi2_greedy_search_item13,66,"Beethoven,",True
en,phi2_greedy_search_item13,67,"Schubert,",True
en,phi2_greedy_search_item13,68,and,True
en,phi2_greedy_search_item13,69,Chopin,True
en,phi2_greedy_search_item13,70,were,True
en,phi2_greedy_search_item13,71,influential,True
en,phi2_greedy_search_item13,72,during,True
en,phi2_greedy_search_item13,73,this,True
en,phi2_greedy_search_item13,74,period.,False
en,phi2_greedy_search_item14,0,This,True
en,phi2_greedy_search_item14,1,expression,True
en,phi2_greedy_search_item14,2,means,True
en,phi2_greedy_search_item14,3,that,True
en,phi2_greedy_search_item14,4,time,True
en,phi2_greedy_search_item14,5,seems,True
en,phi2_greedy_search_item14,6,to,True
en,phi2_greedy_search_item14,7,pass,True
en,phi2_greedy_search_item14,8,quickly,True
en,phi2_greedy_search_item14,9,when,True
en,phi2_greedy_search_item14,10,you,True
en,phi2_greedy_search_item14,11,are,True
en,phi2_greedy_search_item14,12,raising,True
en,phi2_greedy_search_item14,13,children.,True
en,phi2_greedy_search_item14,14,It,True
en,phi2_greedy_search_item14,15,suggests,True
en,phi2_greedy_search_item14,16,that,True
en,phi2_greedy_search_item14,17,the,True
en,phi2_greedy_search_item14,18,years,True
en,phi2_greedy_search_item14,19,go,True
en,phi2_greedy_search_item14,20,by,True
en,phi2_greedy_search_item14,21,in,True
en,phi2_greedy_search_item14,22,a,True
en,phi2_greedy_search_item14,23,blink,True
en,phi2_greedy_search_item14,24,of,True
en,phi2_greedy_search_item14,25,an,True
en,phi2_greedy_search_item14,26,"eye,",True
en,phi2_greedy_search_item14,27,and,True
en,phi2_greedy_search_item14,28,before,True
en,phi2_greedy_search_item14,29,you,True
en,phi2_greedy_search_item14,30,know,True
en,phi2_greedy_search_item14,31,"it,",True
en,phi2_greedy_search_item14,32,your,True
en,phi2_greedy_search_item14,33,children,True
en,phi2_greedy_search_item14,34,are,True
en,phi2_greedy_search_item14,35,grown,True
en,phi2_greedy_search_item14,36,up,True
en,phi2_greedy_search_item14,37,and,True
en,phi2_greedy_search_item14,38,have,True
en,phi2_greedy_search_item14,39,moved,True
en,phi2_greedy_search_item14,40,on,True
en,phi2_greedy_search_item14,41,with,True
en,phi2_greedy_search_item14,42,their,True
en,phi2_greedy_search_item14,43,lives.,True
en,phi2_greedy_search_item14,44,It,True
en,phi2_greedy_search_item14,45,can,True
en,phi2_greedy_search_item14,46,be,True
en,phi2_greedy_search_item14,47,a,True
en,phi2_greedy_search_item14,48,bittersweet,True
en,phi2_greedy_search_item14,49,"feeling,",True
en,phi2_greedy_search_item14,50,as,True
en,phi2_greedy_search_item14,51,you,True
en,phi2_greedy_search_item14,52,realize,True
en,phi2_greedy_search_item14,53,that,True
en,phi2_greedy_search_item14,54,your,True
en,phi2_greedy_search_item14,55,children,True
en,phi2_greedy_search_item14,56,are,True
